recon_date,cid,entry_date,entry_price
2025-03-31,WIF-USD,2025-04-01,0.42281800508499146
2025-03-31,RAY-USD,2025-04-01,1.8028990030288696
2025-03-31,RENDER-USD,2025-04-01,3.697377920150757
2025-03-31,FARTCOIN-USD,2025-04-01,0.5233420133590698
2025-03-31,ORCA-USD,2025-04-01,2.1625800132751465
2025-03-31,MNDE-USD,2025-04-01,0.10533600300550461
2025-03-31,MSOL-USD,2025-04-01,162.14886474609375
2025-03-31,JITOSOL-USD,2025-04-01,150.94700622558594
2025-03-31,FIDA-USD,2025-04-01,0.09654299914836884
2025-03-31,MEDIA-USD,2025-04-01,6.664050102233887
2025-03-31,GALA-USD,2025-04-01,0.01587199978530407
2025-03-31,PONKE-USD,2025-04-01,0.09103299677371979
2025-03-31,SLERF-USD,2025-04-01,0.059971000999212265
2025-03-31,KMNO-USD,2025-04-01,0.04985100030899048
2025-03-31,PYUSD-USD,2025-04-01,0.9995430111885071
2025-03-31,HNT-USD,2025-04-01,3.0582869052886963
2025-03-31,ZETA-USD,2025-04-01,0.270018994808197
2025-03-31,STSOL-USD,2025-04-01,153.5646514892578
2025-03-31,BSOL-USD,2025-04-01,152.6893768310547
2025-03-31,CHILLGUY-USD,2025-04-01,0.02488899976015091
2025-03-31,ZEREBRO-USD,2025-04-01,0.029461000114679337
2025-04-30,WIF-USD,2025-05-01,0.6158409714698792
2025-04-30,RAY-USD,2025-05-01,2.8873538970947266
2025-04-30,RENDER-USD,2025-05-01,4.626389026641846
2025-04-30,FARTCOIN-USD,2025-05-01,1.1959760189056396
2025-04-30,ORCA-USD,2025-05-01,2.9263219833374023
2025-04-30,MSOL-USD,2025-05-01,194.32875061035156
2025-04-30,JITOSOL-USD,2025-05-01,180.58135986328125
2025-04-30,FIDA-USD,2025-05-01,0.08475500345230103
2025-04-30,MEDIA-USD,2025-05-01,0.6316140294075012
2025-04-30,GALA-USD,2025-05-01,0.017148999497294426
2025-04-30,PONKE-USD,2025-05-01,0.12027899920940399
2025-04-30,MYRO-USD,2025-05-01,0.025960000231862068
2025-04-30,SLERF-USD,2025-05-01,0.07180000096559525
2025-04-30,KMNO-USD,2025-05-01,0.07352100312709808
2025-04-30,PYUSD-USD,2025-05-01,0.9997109770774841
2025-04-30,HNT-USD,2025-05-01,3.8230509757995605
2025-04-30,IOTX-USD,2025-05-01,0.01913299970328808
2025-04-30,ZETA-USD,2025-05-01,0.27447399497032166
2025-04-30,STSOL-USD,2025-05-01,182.51187133789062
2025-04-30,BSOL-USD,2025-05-01,182.96095275878906
2025-04-30,CHILLGUY-USD,2025-05-01,0.045788999646902084
2025-04-30,ZEREBRO-USD,2025-05-01,0.05099000036716461
2025-05-31,WIF-USD,2025-06-01,0.8729349970817566
2025-05-31,RAY-USD,2025-06-01,2.5348050594329834
2025-05-31,RENDER-USD,2025-06-01,3.9239890575408936
2025-05-31,FARTCOIN-USD,2025-06-01,1.148103952407837
2025-05-31,BOME-USD,2025-06-01,0.001917000045068562
2025-05-31,ORCA-USD,2025-06-01,2.6915531158447266
2025-05-31,MNDE-USD,2025-06-01,0.1195020005106926
2025-05-31,MSOL-USD,2025-06-01,204.57615661621094
2025-05-31,JITOSOL-USD,2025-06-01,190.16746520996094
2025-05-31,FIDA-USD,2025-06-01,0.0716480016708374
2025-05-31,GALA-USD,2025-06-01,0.016902999952435493
2025-05-31,PONKE-USD,2025-06-01,0.13641899824142456
2025-05-31,MYRO-USD,2025-06-01,0.022823000326752663
2025-05-31,SLERF-USD,2025-06-01,0.07552900165319443
2025-05-31,KMNO-USD,2025-06-01,0.05793499946594238
2025-05-31,PYUSD-USD,2025-06-01,0.9993979930877686
2025-05-31,HNT-USD,2025-06-01,3.3812830448150635
2025-05-31,IOTX-USD,2025-06-01,0.02223999984562397
2025-05-31,ZETA-USD,2025-06-01,0.21699999272823334
2025-05-31,STSOL-USD,2025-06-01,191.18064880371094
2025-05-31,BSOL-USD,2025-06-01,192.54660034179688
2025-05-31,CHILLGUY-USD,2025-06-01,0.07125099748373032
2025-05-31,ZEREBRO-USD,2025-06-01,0.03678999841213226
2025-06-30,WIF-USD,2025-07-01,0.7830229997634888
2025-06-30,RAY-USD,2025-07-01,2.0324220657348633
2025-06-30,RENDER-USD,2025-07-01,3.073117971420288
2025-06-30,FARTCOIN-USD,2025-07-01,1.0208649635314941
2025-06-30,ORCA-USD,2025-07-01,1.8434590101242065
2025-06-30,MNDE-USD,2025-07-01,0.12329000234603882
2025-06-30,MSOL-USD,2025-07-01,191.59547424316406
2025-06-30,JITOSOL-USD,2025-07-01,178.08615112304688
2025-06-30,FIDA-USD,2025-07-01,0.07007300108671188
2025-06-30,GALA-USD,2025-07-01,0.013395000249147415
2025-06-30,PONKE-USD,2025-07-01,0.11212900280952454
2025-06-30,SLERF-USD,2025-07-01,0.06632799655199051
2025-06-30,KMNO-USD,2025-07-01,0.05757300183176994
2025-06-30,PYUSD-USD,2025-07-01,0.9995570182800293
2025-06-30,HNT-USD,2025-07-01,2.1727869510650635
2025-06-30,ZETA-USD,2025-07-01,0.1691329926252365
2025-06-30,STSOL-USD,2025-07-01,177.94534301757812
2025-06-30,BSOL-USD,2025-07-01,180.35562133789062
2025-06-30,CHILLGUY-USD,2025-07-01,0.04597000032663345
2025-06-30,ZEREBRO-USD,2025-07-01,0.02729099988937378
2025-07-31,WIF-USD,2025-08-01,0.8797019720077515
2025-07-31,RAY-USD,2025-08-01,2.5950870513916016
2025-07-31,RENDER-USD,2025-08-01,3.5361061096191406
2025-07-31,FARTCOIN-USD,2025-08-01,0.9171069860458374
2025-07-31,ORCA-USD,2025-08-01,2.1163411140441895
2025-07-31,MNDE-USD,2025-08-01,0.09189300239086151
2025-07-31,MSOL-USD,2025-08-01,213.707275390625
2025-07-31,JITOSOL-USD,2025-08-01,198.4488067626953
2025-07-31,FIDA-USD,2025-08-01,0.096841000020504
2025-07-31,GALA-USD,2025-08-08,0.01697699911892414
2025-07-31,PONKE-USD,2025-08-01,0.11103600263595581
2025-07-31,SLERF-USD,2025-08-01,0.06765999644994736
2025-07-31,KMNO-USD,2025-08-01,0.05049299821257591
2025-07-31,PYUSD-USD,2025-08-01,0.9992780089378357
2025-07-31,HNT-USD,2025-08-01,2.829533100128174
2025-07-31,IOTX-USD,2025-08-01,0.02852500043809414
2025-07-31,ZETA-USD,2025-08-01,0.18191200494766235
2025-07-31,STSOL-USD,2025-08-01,197.48574829101562
2025-07-31,BSOL-USD,2025-08-01,200.96871948242188
2025-07-31,CHILLGUY-USD,2025-08-01,0.05306199938058853
2025-07-31,ZEREBRO-USD,2025-08-01,0.026467999443411827
2025-08-31,WIF-USD,2025-09-01,0.758637011051178
2025-08-31,RAY-USD,2025-09-01,3.2737979888916016
2025-08-31,RENDER-USD,2025-09-01,3.3238000869750977
2025-08-31,FARTCOIN-USD,2025-09-01,0.7144399881362915
2025-08-31,ORCA-USD,2025-09-01,2.1611790657043457
2025-08-31,MNDE-USD,2025-09-01,0.12738999724388123
2025-08-31,MSOL-USD,2025-09-01,260.14019775390625
2025-08-31,JITOSOL-USD,2025-09-01,241.6949462890625
2025-08-31,FIDA-USD,2025-09-01,0.08333799988031387
2025-08-31,GALA-USD,2025-09-01,0.015575000084936619
2025-08-31,PONKE-USD,2025-09-01,0.09644400328397751
2025-08-31,MYRO-USD,2025-09-01,0.021998999640345573
2025-08-31,SLERF-USD,2025-09-01,0.07718800008296967
2025-08-31,KMNO-USD,2025-09-01,0.05287899821996689
2025-08-31,PYUSD-USD,2025-09-01,0.9995620250701904
2025-08-31,HNT-USD,2025-09-01,2.5086240768432617
2025-08-31,IOTX-USD,2025-09-01,0.027713000774383545
2025-08-31,ZETA-USD,2025-09-01,0.17893299460411072
2025-08-31,STSOL-USD,2025-09-01,239.05140686035156
2025-08-31,BSOL-USD,2025-09-01,244.27438354492188
2025-08-31,CHILLGUY-USD,2025-09-01,0.03866500034928322
2025-08-31,ZEREBRO-USD,2025-09-01,0.020207000896334648
2025-09-30,WIF-USD,2025-10-01,0.7641940116882324
2025-09-30,RAY-USD,2025-10-01,2.8549160957336426
2025-09-30,RENDER-USD,2025-10-01,3.548769950866699
2025-09-30,FARTCOIN-USD,2025-10-01,0.62956702709198
2025-09-30,ORCA-USD,2025-10-01,2.010561943054199
2025-09-30,MNDE-USD,2025-10-01,0.14332400262355804
2025-09-30,MSOL-USD,2025-10-01,294.4431457519531
2025-09-30,JITOSOL-USD,2025-10-01,273.3974914550781
2025-09-30,FIDA-USD,2025-10-01,0.0828310027718544
2025-09-30,GALA-USD,2025-10-01,0.015430999919772148
2025-09-30,PONKE-USD,2025-10-01,0.08897899836301804
2025-09-30,SLERF-USD,2025-10-01,0.08138599991798401
2025-09-30,KMNO-USD,2025-10-01,0.0722310021519661
2025-09-30,PYUSD-USD,2025-10-01,0.999783992767334
2025-09-30,HNT-USD,2025-10-01,2.6356699466705322
2025-09-30,ZETA-USD,2025-10-01,0.16657400131225586
2025-09-30,STSOL-USD,2025-10-01,268.7919006347656
2025-09-30,BSOL-USD,2025-10-01,276.723388671875
2025-09-30,CHILLGUY-USD,2025-10-01,0.039719998836517334
2025-10-31,WIF-USD,2025-11-01,0.5352349877357483
2025-10-31,RAY-USD,2025-11-01,1.6753220558166504
2025-10-31,RENDER-USD,2025-11-01,2.3292179107666016
2025-10-31,FARTCOIN-USD,2025-11-01,0.33878400921821594
2025-10-31,ORCA-USD,2025-11-01,1.5537300109863281
2025-10-31,MNDE-USD,2025-11-01,0.10701099783182144
2025-10-31,MSOL-USD,2025-11-01,248.9127655029297
2025-10-31,JITOSOL-USD,2025-11-01,230.86834716796875
2025-10-31,FIDA-USD,2025-11-01,0.05789700150489807
2025-10-31,GALA-USD,2025-11-01,0.010437999852001667
2025-10-31,PONKE-USD,2025-11-01,0.05839899927377701
2025-10-31,SLERF-USD,2025-11-01,0.012161999940872192
2025-10-31,KMNO-USD,2025-11-01,0.06190099939703941
2025-10-31,PYUSD-USD,2025-11-01,0.9995549917221069
2025-10-31,HNT-USD,2025-11-01,2.38303804397583
2025-10-31,IOTX-USD,2025-11-01,0.01155600044876337
2025-10-31,ZETA-USD,2025-11-01,0.11693800240755081
2025-10-31,STSOL-USD,2025-11-01,226.07118225097656
2025-10-31,BSOL-USD,2025-11-01,234.05252075195312
2025-10-31,CHILLGUY-USD,2025-11-01,0.02784699946641922
2025-10-31,ZEREBRO-USD,2025-11-01,0.04306099936366081
2025-11-30,WIF-USD,2025-12-01,0.3455809950828552
2025-11-30,RAY-USD,2025-12-01,1.0022250413894653
2025-11-30,RENDER-USD,2025-12-01,1.5659290552139282
2025-11-30,FARTCOIN-USD,2025-12-01,0.320235013961792
2025-11-30,ORCA-USD,2025-12-01,1.2588579654693604
2025-11-30,MNDE-USD,2025-12-01,0.06491799652576447
2025-11-30,MSOL-USD,2025-12-01,170.04380798339844
2025-11-30,JITOSOL-USD,2025-12-01,158.0266876220703
2025-11-30,FIDA-USD,2025-12-01,0.043845999985933304
2025-11-30,GALA-USD,2025-12-01,0.006767000071704388
2025-11-30,PONKE-USD,2025-12-01,0.03217799961566925
2025-11-30,KMNO-USD,2025-12-01,0.057927001267671585
2025-11-30,PYUSD-USD,2025-12-01,0.9995129704475403
2025-11-30,HNT-USD,2025-12-01,1.8914090394973755
2025-11-30,ZETA-USD,2025-12-01,0.0831340029835701
2025-11-30,STSOL-USD,2025-12-01,153.58790588378906
2025-11-30,BSOL-USD,2025-12-01,159.76992797851562
2025-11-30,ZEREBRO-USD,2025-12-01,0.030162999406456947
2025-12-31,WIF-USD,2026-01-01,0.301256000995636
2025-12-31,RAY-USD,2026-01-01,0.9755169749259949
2025-12-31,RENDER-USD,2026-01-01,1.378972053527832
2025-12-31,FARTCOIN-USD,2026-01-01,0.29006099700927734
2025-12-31,ORCA-USD,2026-01-01,1.1011569499969482
2025-12-31,MSOL-USD,2026-01-01,170.94253540039062
2025-12-31,JITOSOL-USD,2026-01-01,158.65390014648438
2025-12-31,GALA-USD,2026-01-01,0.0062870001420378685
2025-12-31,KMNO-USD,2026-01-01,0.05659700185060501
2025-12-31,PYUSD-USD,2026-01-01,0.9996100068092346
2025-12-31,HNT-USD,2026-01-01,1.5208539962768555
2025-12-31,ZETA-USD,2026-01-01,0.0713450014591217
2025-12-31,STSOL-USD,2026-01-01,153.94369506835938
2025-12-31,BSOL-USD,2026-01-01,160.56765747070312
2025-12-31,ZEREBRO-USD,2026-01-01,0.02569499984383583
2026-01-31,WIF-USD,2026-02-01,0.2540769875049591
2026-01-31,RAY-USD,2026-02-01,0.703794002532959
2026-01-31,RENDER-USD,2026-02-01,1.4981659650802612
2026-01-31,FARTCOIN-USD,2026-02-01,0.2163349986076355
2026-01-31,ORCA-USD,2026-02-01,0.8877350091934204
2026-01-31,MSOL-USD,2026-02-01,142.88392639160156
2026-01-31,JITOSOL-USD,2026-02-01,126.78634643554688
2026-01-31,GALA-USD,2026-02-01,0.004699999932199717
2026-01-31,PONKE-USD,2026-02-01,0.03579200059175491
2026-01-31,KMNO-USD,2026-02-01,0.03411800041794777
2026-01-31,PYUSD-USD,2026-02-01,0.9994059801101685
2026-01-31,HNT-USD,2026-02-01,0.9676039814949036
2026-01-31,ZETA-USD,2026-02-01,0.059282999485731125
2026-01-31,STSOL-USD,2026-02-01,128.58294677734375
2026-01-31,BSOL-USD,2026-02-01,134.10791015625
2026-02-28,WIF-USD,2026-03-01,0.1903650015592575
2026-02-28,RAY-USD,2026-03-01,0.5882030129432678
2026-02-28,RENDER-USD,2026-03-01,1.33788001537323
2026-02-28,FARTCOIN-USD,2026-03-01,0.15347599983215332
2026-02-28,ORCA-USD,2026-03-01,0.8676319718360901
2026-02-28,MSOL-USD,2026-03-01,113.70613098144531
2026-02-28,JITOSOL-USD,2026-03-01,105.54216003417969
2026-02-28,PYUSD-USD,2026-03-01,0.9998170137405396
2026-02-28,HNT-USD,2026-03-01,1.2788829803466797
2026-02-28,ZETA-USD,2026-03-01,0.05290500074625015
2026-02-28,STSOL-USD,2026-03-01,102.15762329101562
2026-02-28,BSOL-USD,2026-03-01,106.87064361572266
